"iConsumed","iWine","Type","Consumed","ConsumedYear","ConsumedMonth","ConsumedDay","Size","ShortType","Currency","Value","Price","Revenue","RevenueCurrency","ConsumptionNote","PurchaseNote","BottleNote","Location","Bin","Vintage","Wine","Locale","Color","Category","Varietal","MasterVarietal","Designation","Vineyard","Country","Region","SubRegion","Appellation"
"50000000","1379293","Red","1/23/2015","2015","1","23","750ml","Drank from my cellar","USD","62.99","62.99","0","USD","","OrderId:100000000","","Cellar Room","71-B","2011","M. Chapoutier Ermitage Le Méal","France, Rhône, Northern Rhône, Hermitage","Red","Dry","Syrah","Syrah","Ermitage","Le Méal","France","Rhône","Northern Rhône","Hermitage"
"50000001","817462","Red","6/28/2013","2013","6","28","750ml","Drank from my cellar","USD","145.07","145.07","0","USD","Burgundy GC night — July 2013","OrderId:100000001","","Cellar Room","47-F","2003","Domaine Fourrier Griotte-Chambertin Vieille Vigne","France, Burgundy, Côte de Nuits, Griotte-Chambertin Grand Cru","Red","Dry","Pinot Noir","Pinot Noir","Vieille Vigne","Unknown","France","Burgundy","Côte de Nuits","Griotte-Chambertin Grand Cru"
"50000002","817462","Red","7/9/2013","2013","7","9","750ml","Drank from my cellar","USD","145.07","145.07","0","USD","Burgundy GC night — July 2013","OrderId:100000001","","Cellar Room","51-C","2003","Domaine Fourrier Griotte-Chambertin Vieille Vigne","France, Burgundy, Côte de Nuits, Griotte-Chambertin Grand Cru","Red","Dry","Pinot Noir","Pinot Noir","Vieille Vigne","Unknown","France","Burgundy","Côte de Nuits","Griotte-Chambertin Grand Cru"
"50000003","143504","Red","6/15/2013","2013","6","15","750ml","Drank from my cellar","USD","68.24","68.24","0","USD","","OrderId:100000002","","Kitchen Cooler","","2000","Fontodi Chianti Classico Riserva Vigna del Sorbo","Italy, Tuscany, Chianti, Chianti Classico DOCG","Red","Dry","Sangiovese Blend","Sangiovese","Riserva","Vigna del Sorbo","Italy","Tuscany","Chianti","Chianti Classico DOCG"
"50000004","143504","Red","6/19/2013","2013","6","19","750ml","Drank from my cellar","USD","68.24","68.24","0","USD","","OrderId:100000002","","Off-site Storage","29-F","2000","Fontodi Chianti Classico Riserva Vigna del Sorbo","Italy, Tuscany, Chianti, Chianti Classico DOCG","Red","Dry","Sangiovese Blend","Sangiovese","Riserva","Vigna del Sorbo","Italy","Tuscany","Chianti","Chianti Classico DOCG"
"50000005","143279","Red","6/18/2022","2022","6","18","750ml","Sold","USD","59.70","59.70","50.75","USD","Zachys consignment, June 2022","OrderId:100000003","","Cellar Room","67-E","1990","Château Lagrange (Pomerol)","France, Bordeaux, Libournais, Pomerol","Red","Dry","Red Bordeaux Blend","Red Bordeaux Blend","Unknown","Unknown","France","Bordeaux","Libournais","Pomerol"
"50000006","143279","Red","8/6/2017","2017","8","6","750ml","Drank from my cellar","USD","59.70","59.70","0","USD","","OrderId:100000003","","Kitchen Cooler","75-C","1990","Château Lagrange (Pomerol)","France, Bordeaux, Libournais, Pomerol","Red","Dry","Red Bordeaux Blend","Red Bordeaux Blend","Unknown","Unknown","France","Bordeaux","Libournais","Pomerol"
"50000007","901504","Red","6/28/2013","2013","6","28","750ml","Drank from my cellar","USD","65.74","65.74","0","USD","California Cab vertical — October 2013","OrderId:100000004","","Off-site Storage","","2008","Spottswoode Cabernet Sauvignon Estate","USA, California, Napa Valley, St. Helena","Red","Dry","Cabernet Sauvignon","Cabernet Sauvignon","Estate","Unknown","USA","California","Napa Valley","St. Helena"
"50000008","3207973","Rosé","6/28/2013","2013","6","28","750ml","Missing","USD","81.03","81.03","0","USD","Inventory audit — bottle not found.","OrderId:100000005","","Kitchen Cooler","73-D","2009","R. López de Heredia Rioja Rosado Gran Reserva Viña Tondonia","Spain, La Rioja, La Rioja Alta, Rioja","Red","Dry","Grenache Blend","Grenache","Rosado Gran Reserva","Viña Tondonia","Spain","La Rioja","La Rioja Alta","Rioja"
"50000009","3207973","Rosé","6/28/2013","2013","6","28","750ml","Drank from my cellar","USD","81.03","81.03","0","USD","","OrderId:100000005","lightly scuffed label","Kitchen Cooler","86-A","2009","R. López de Heredia Rioja Rosado Gran Reserva Viña Tondonia","Spain, La Rioja, La Rioja Alta, Rioja","Red","Dry","Grenache Blend","Grenache","Rosado Gran Reserva","Viña Tondonia","Spain","La Rioja","La Rioja Alta","Rioja"
