"iInventory","Pending","Barcode","WineBarcode","Price","Size","iWine","Type","Vintage","Wine","Producer","Varietal","Designation","Vineyard","Country","Region","SubRegion","Appellation","Note","StoreName","PurchaseDate","PurchaseNote","Location","Bin"
"200000252","0","0200000252","W90384_750ml","97.79","750ml","90384","Red","2002","Domaine des Lambrays Clos des Lambrays","Domaine des Lambrays","Pinot Noir","Unknown","Unknown","France","Burgundy","Côte de Nuits","Clos des Lambrays Grand Cru","","Acker Merrall","10/6/2013","OrderId:100000103","Kitchen Cooler","38-E"
"200000266","0","0200000266","W80128_750ml","53.59","750ml","80128","White - Sparkling","1001","André Clouet Champagne Grande Réserve Brut","André Clouet","Pinot Noir","Grande Réserve Brut","Unknown","France","Champagne","Unknown","Champagne","top-shoulder fill","Spectrum Wine Auctions","10/6/2013","OrderId:100000107","Kitchen Cooler",""
"200000304","0","0200000304","W2014673_750ml","29.66","750ml","2014673","Red","2013","Joseph Drouhin Beaune 1er Cru Clos des Mouches Rouge","Joseph Drouhin","Pinot Noir","Rouge","Clos des Mouches","France","Burgundy","Côte de Beaune","Beaune 1er Cru","","Total Wine","11/2/2013","OrderId:100000120","Kitchen Cooler","65-B"
"200000325","0","0200000325","W1328635_750ml","61.73","750ml","1328635","Red","2010","Paul Jaboulet Aîné Hermitage La Chapelle","Paul Jaboulet Aîné","Syrah","La Chapelle","Unknown","France","Rhône","Northern Rhône","Hermitage","","Garagiste","12/4/2013","OrderId:100000128","Cellar Room","67-B"
"200000332","0","0200000332","W2611984_750ml","108.17","750ml","2611984","Red","2013","Château des Tours Côtes du Rhône Reserve","Château des Tours","Red Rhone Blend","Reserve","Unknown","France","Rhône","Southern Rhône","Côtes du Rhône","","Spectrum Wine Auctions","12/17/2013","OrderId:100000130","Cellar Room","15-F"
"200000336","0","0200000336","W1659625_750ml","163.79","750ml","1659625","Red","2012","Jacques-Frédéric Mugnier Chambolle-Musigny","Jacques-Frédéric Mugnier","Pinot Noir","Unknown","Unknown","France","Burgundy","Côte de Nuits","Chambolle-Musigny","nicked capsule","Acker Merrall","12/20/2013","OrderId:100000132","Off-site Storage","35-E"
"200000348","0","0200000348","W1603228_750ml","53.96","750ml","1603228","Red","2012","Vieux Château Certan","Vieux Château Certan","Red Bordeaux Blend","Unknown","Unknown","France","Bordeaux","Libournais","Pomerol","top-shoulder fill","Zachys","12/13/2013","OrderId:100000135","Cellar Room","39-F"
"200000368","0","0200000368","W696714_1.5L","80.66","1.5L","696714","Red","2008","Domaine des Lambrays Clos des Lambrays","Domaine des Lambrays","Pinot Noir","Unknown","Unknown","France","Burgundy","Côte de Nuits","Clos des Lambrays Grand Cru","","WineBid","1/4/2014","OrderId:100000144","Cellar Room",""
"200000374","0","0200000374","W1303306_750ml","124.09","750ml","1303306","Red","2010","Domaine Bruno Clair Gevrey-Chambertin 1er Cru Clos St. Jacques","Domaine Bruno Clair","Pinot Noir","Unknown","Clos St. Jacques","France","Burgundy","Côte de Nuits","Gevrey-Chambertin 1er Cru","","Winery Direct","1/3/2014","OrderId:100000148","Cellar Room","91-E"
"200000375","0","0200000375","W1303306_750ml","124.09","750ml","1303306","Red","2010","Domaine Bruno Clair Gevrey-Chambertin 1er Cru Clos St. Jacques","Domaine Bruno Clair","Pinot Noir","Unknown","Clos St. Jacques","France","Burgundy","Côte de Nuits","Gevrey-Chambertin 1er Cru","","Winery Direct","1/3/2014","OrderId:100000148","Kitchen Cooler","23-F"
"200000376","0","0200000376","W1303306_750ml","124.09","750ml","1303306","Red","2010","Domaine Bruno Clair Gevrey-Chambertin 1er Cru Clos St. Jacques","Domaine Bruno Clair","Pinot Noir","Unknown","Clos St. Jacques","France","Burgundy","Côte de Nuits","Gevrey-Chambertin 1er Cru","","Winery Direct","1/3/2014","OrderId:100000148","Off-site Storage","08-A"
"200000407","0","0200000407","W2039652_750ml","31.11","750ml","2039652","Red","2013","Williams Selyem Pinot Noir Vista Verde Vineyard","Williams Selyem","Pinot Noir","Unknown","Vista Verde Vineyard","USA","California","Central Coast","San Benito County","","K&L Auctions","2/19/2014","OrderId:100000161","Off-site Storage","85-E"
"200000427","0","0200000427","W1508099_750ml","229.01","750ml","1508099","Red","1976","Ridge Cabernet-Merlot Monte Bello","Ridge","Red Bordeaux Blend","Cabernet-Merlot","Monte Bello","USA","California","Santa Cruz Mountains","Santa Cruz Mountains","","Acker Merrall","2/16/2014","OrderId:100000164","Cellar Room","91-C"
"200000445","0","0200000445","W4212597_750ml","65.21","750ml","4212597","Red","2015","Emidio Pepe Montepulciano d'Abruzzo Vecchie Vigne","Emidio Pepe","Montepulciano","Vecchie Vigne","Unknown","Italy","Abruzzi","Unknown","Montepulciano d'Abruzzo","","Hart Davis Hart","2/6/2014","OrderId:100000171","Cellar Room",""
"200000494","0","0200000494","W3866347_750ml","39.67","750ml","3866347","Red","2019","Domaine Bruno Clair Marsannay Les Grasses Têtes","Domaine Bruno Clair","Pinot Noir","Unknown","Les Grasses Têtes","France","Burgundy","Côte de Nuits","Marsannay","nicked capsule","WineBid","4/1/2014","OrderId:100000191","Kitchen Cooler","35-A"
"200000552","0","0200000552","W2061826_750ml","76.71","750ml","2061826","Red","2014","Pierre Gonon Saint-Joseph","Pierre Gonon","Syrah","Unknown","Unknown","France","Rhône","Northern Rhône","Saint-Joseph","nicked capsule","Zachys","5/8/2014","OrderId:100000213","Kitchen Cooler","16-C"
"200000557","0","0200000557","W1745791_750ml","27.99","750ml","1745791","Red","2009","Williams Selyem Pinot Noir Rochioli Riverblock Vineyard","Williams Selyem","Pinot Noir","Unknown","Rochioli Riverblock Vineyard","USA","California","Sonoma County","Russian River Valley","","Garagiste","5/21/2014","OrderId:100000215","Kitchen Cooler","14-B"
"200000558","0","0200000558","W1745791_750ml","27.99","750ml","1745791","Red","2009","Williams Selyem Pinot Noir Rochioli Riverblock Vineyard","Williams Selyem","Pinot Noir","Unknown","Rochioli Riverblock Vineyard","USA","California","Sonoma County","Russian River Valley","","Garagiste","5/21/2014","OrderId:100000215","Kitchen Cooler","74-B"
"200000562","0","0200000562","W1456094_750ml","48.83","750ml","1456094","Red","2010","Domaine Drouhin Oregon Pinot Noir Laurène","Domaine Drouhin Oregon","Pinot Noir","Laurène","Unknown","USA","Oregon","Willamette Valley","Dundee Hills","","Acker Merrall","5/13/2014","OrderId:100000216","Kitchen Cooler","58-D"
"200000583","0","0200000583","W176417_750ml","70.33","750ml","176417","Red","2004","Rene Rostaing Côte-Rôtie Côte Blonde","Rene Rostaing","Syrah","Unknown","Côte Blonde","France","Rhône","Northern Rhône","Côte-Rôtie","","Chambers Street","5/6/2014","OrderId:100000224","Cellar Room","18-C"
"200000609","0","0200000609","W2783522_750ml","95.86","750ml","2783522","Red","2014","Bartolo Mascarello Barolo","Bartolo Mascarello","Nebbiolo","Unknown","Unknown","Italy","Piedmont","Langhe","Barolo","","Acker Merrall","5/12/2014","OrderId:100000235","Cellar Room","16-C"
"200000610","0","0200000610","W2783522_750ml","95.86","750ml","2783522","Red","2014","Bartolo Mascarello Barolo","Bartolo Mascarello","Nebbiolo","Unknown","Unknown","Italy","Piedmont","Langhe","Barolo","","Acker Merrall","5/12/2014","OrderId:100000235","Cellar Room","02-E"
"200000643","0","0200000643","W2205138_750ml","96.64","750ml","2205138","Red","2015","Domaine Bruno Clair Gevrey-Chambertin 1er Cru Clos St. Jacques","Domaine Bruno Clair","Pinot Noir","Unknown","Clos St. Jacques","France","Burgundy","Côte de Nuits","Gevrey-Chambertin 1er Cru","","Zachys","6/4/2014","OrderId:100000246","Kitchen Cooler","10-D"
"200000644","0","0200000644","W2205138_750ml","96.64","750ml","2205138","Red","2015","Domaine Bruno Clair Gevrey-Chambertin 1er Cru Clos St. Jacques","Domaine Bruno Clair","Pinot Noir","Unknown","Clos St. Jacques","France","Burgundy","Côte de Nuits","Gevrey-Chambertin 1er Cru","","Zachys","6/4/2014","OrderId:100000246","Cellar Room","57-B"
"200000652","0","0200000652","W2061850_750ml","22.89","750ml","2061850","Red","2013","Failla Pinot Noir Hirsch Vineyard","Failla","Pinot Noir","Unknown","Hirsch Vineyard","USA","California","Sonoma County","Sonoma Coast","","Garagiste","6/3/2014","OrderId:100000248","Kitchen Cooler","22-F"
"200000666","0","0200000666","W928568_1.5L","626.02","1.5L","928568","Red","2010","Domaine Comte Georges de Vogüé Musigny Cuvée Vieilles Vignes","Domaine Comte Georges de Vogüé","Pinot Noir","Cuvée Vieilles Vignes","Unknown","France","Burgundy","Côte de Nuits","Musigny Grand Cru","","K&L Wine Merchants","6/27/2014","OrderId:100000254","Off-site Storage","91-E"
"200000675","0","0200000675","W1990065_750ml","116.30","750ml","1990065","Red","2013","Domaine des Lambrays Clos des Lambrays","Domaine des Lambrays","Pinot Noir","Unknown","Unknown","France","Burgundy","Côte de Nuits","Clos des Lambrays Grand Cru","","K&L Auctions","6/19/2014","OrderId:100000258","Kitchen Cooler","93-A"
