"iNote","iWine","Type","Vintage","Wine","Locale","Producer","Varietal","MasterVarietal","Designation","Vineyard","Country","Region","SubRegion","Appellation","TastingDate","Defective","Views","fHelpful","fFavorite","Rating","EventLocation","EventTitle","iEvent","EventDate","EventEndDate","TastingNotes","fLikeIt","CNotes","CScore","LikeVotes","LikePercent","Votes","Comments"
"10000000","817462","Red","2003","Domaine Fourrier Griotte-Chambertin Vieille Vigne","France, Burgundy, Côte de Nuits, Griotte-Chambertin Grand Cru","Domaine Fourrier","Pinot Noir","Pinot Noir","Vieille Vigne","Unknown","France","Burgundy","Côte de Nuits","Griotte-Chambertin Grand Cru","7/15/2013","False","0","","0","88","the cellar room","Burgundy GC night — July 2013","90000000","7/15/2013","7/15/2013","Nose of raspberry, rose petal. Palate shows long savory finish, bright acidity. Good but not memorable.","","","","","","",""
"10000001","817462","Red","2003","Domaine Fourrier Griotte-Chambertin Vieille Vigne","France, Burgundy, Côte de Nuits, Griotte-Chambertin Grand Cru","Domaine Fourrier","Pinot Noir","Pinot Noir","Vieille Vigne","Unknown","France","Burgundy","Côte de Nuits","Griotte-Chambertin Grand Cru","7/15/2013","False","0","","0","91","the cellar room","Burgundy GC night — July 2013","90000000","7/15/2013","7/15/2013","Nose of cedar, forest floor. Palate shows pretty fruit core, polished texture, taut tannins. On track.","","","","","","",""
"10000002","901504","Red","2008","Spottswoode Cabernet Sauvignon Estate","USA, California, Napa Valley, St. Helena","Spottswoode","Cabernet Sauvignon","Cabernet Sauvignon","Estate","Unknown","USA","California","Napa Valley","St. Helena","6/28/2013","False","0","","0","91","","","","","","Nose of dark cherry, iron filings, rose petal. Palate shows structured grip, taut tannins. Solid showing.","","","","","","",""
"10000003","3207973","Rosé","2009","R. López de Heredia Rioja Rosado Gran Reserva Viña Tondonia","Spain, La Rioja, La Rioja Alta, Rioja","R. López de Heredia","Grenache Blend","Grenache","Rosado Gran Reserva","Viña Tondonia","Spain","La Rioja","La Rioja Alta","Rioja","6/23/2013","False","0","","0","88","","","","","","Nose of blackberry, raspberry. Palate shows structured grip, earthy depth, taut tannins. Pleasant if uncomplicated.","","","","","","",""
"10000004","224093","Red","2005","Château Giscours","France, Bordeaux, Médoc, Margaux","Château Giscours","Red Bordeaux Blend","Red Bordeaux Blend","Unknown","Unknown","France","Bordeaux","Médoc","Margaux","6/7/2013","False","0","","0","91","","","","","","Nose of smoked meat, rose petal, violets. Palate shows earthy depth, polished texture. Pleasant if uncomplicated.","","","","","","",""
"10000005","58564","Red","1999","Domaine Ponsot Clos de la Roche Vieilles Vignes","France, Burgundy, Côte de Nuits, Clos de la Roche Grand Cru","Domaine Ponsot","Pinot Noir","Pinot Noir","Vieilles Vignes","Unknown","France","Burgundy","Côte de Nuits","Clos de la Roche Grand Cru","7/15/2013","False","0","","0","92","the cellar room","Burgundy GC night — July 2013","90000000","7/15/2013","7/15/2013","Nose of forest floor, violets. Palate shows polished texture, earthy depth, iron and minerals. Hits its stride.","","","","","","",""
"10000006","58564","Red","1999","Domaine Ponsot Clos de la Roche Vieilles Vignes","France, Burgundy, Côte de Nuits, Clos de la Roche Grand Cru","Domaine Ponsot","Pinot Noir","Pinot Noir","Vieilles Vignes","Unknown","France","Burgundy","Côte de Nuits","Clos de la Roche Grand Cru","7/15/2013","False","0","","0","91","the cellar room","Burgundy GC night — July 2013","90000000","7/15/2013","7/15/2013","Nose of cedar, smoked meat, violets. Palate shows earthy depth, long savory finish, polished texture. Good but not memorable.","","","","","","",""
"10000007","1030769","Red","2009","Philip Togni Cabernet Sauvignon","USA, California, Napa Valley, Spring Mountain District","Philip Togni","Cabernet Sauvignon","Cabernet Sauvignon","Unknown","Unknown","USA","California","Napa Valley","Spring Mountain District","10/15/2013","False","0","","0","85","the cellar room","California Cab vertical — October 2013","90000001","10/15/2013","10/15/2013","Past its prime.","","","","","","",""
"10000008","1030769","Red","2009","Philip Togni Cabernet Sauvignon","USA, California, Napa Valley, Spring Mountain District","Philip Togni","Cabernet Sauvignon","Cabernet Sauvignon","Unknown","Unknown","USA","California","Napa Valley","Spring Mountain District","10/15/2013","False","0","","0","94","the cellar room","California Cab vertical — October 2013","90000001","10/15/2013","10/15/2013","Nose of raspberry, smoked meat. Palate shows taut tannins, long savory finish. Outstanding bottle.","","","","","","",""
"10000009","1030769","Red","2009","Philip Togni Cabernet Sauvignon","USA, California, Napa Valley, Spring Mountain District","Philip Togni","Cabernet Sauvignon","Cabernet Sauvignon","Unknown","Unknown","USA","California","Napa Valley","Spring Mountain District","10/15/2013","False","0","","0","90","the cellar room","California Cab vertical — October 2013","90000001","10/15/2013","10/15/2013","Nose of tobacco leaf, wet stone, graphite. Palate shows bright acidity, structured grip. Solid showing.","","","","","","",""
