"iConsumed","iWine","Type","Consumed","ConsumedYear","ConsumedMonth","ConsumedDay","Size","ShortType","Currency","Value","Price","Revenue","RevenueCurrency","ConsumptionNote","PurchaseNote","BottleNote","Location","Bin","Vintage","Wine","Locale","Color","Category","Varietal","MasterVarietal","Designation","Vineyard","Country","Region","SubRegion","Appellation"
"50000000","600444","Red","5/30/2020","2020","5","30","1.5L","Drank from my cellar","USD","196.07","196.07","0","USD","","OrderId:100000000","","Home Cellar","55-C","1998","Cameron Pinot Noir Abbey Ridge","USA, Oregon, Willamette Valley, Dundee Hills","Red","Dry","Pinot Noir","Pinot Noir","Unknown","Abbey Ridge","USA","Oregon","Willamette Valley","Dundee Hills"
"50000001","600444","Red","11/9/2019","2019","11","9","1.5L","Drank from my cellar","USD","196.07","196.07","0","USD","paella with Sam","OrderId:100000000","","Kitchen","93-F","1998","Cameron Pinot Noir Abbey Ridge","USA, Oregon, Willamette Valley, Dundee Hills","Red","Dry","Pinot Noir","Pinot Noir","Unknown","Abbey Ridge","USA","Oregon","Willamette Valley","Dundee Hills"
"50000002","882264","White - Sparkling","6/10/2019","2019","6","10","375ml","Drank from my cellar","USD","67.38","67.38","0","USD","burgers with Sam","OrderId:100000001","","Home Cellar","72-E","1001","Egly-Ouriet Champagne Grand Cru VP","France, Champagne, Champagne Grand Cru","White","Sparkling","Champagne Blend","Champagne Blend","VP","Unknown","France","Champagne","Unknown","Champagne Grand Cru"
"50000003","117690","Red","2/7/2021","2021","2","7","750ml","Drank from my cellar","USD","42.75","42.75","0","USD","Sunday braise with Sam and Iris and Theo","OrderId:500000002","","Kitchen","88-C","1996","J. Rochioli Pinot Noir Russian River Valley","USA, California, Sonoma County, Russian River Valley","Red","Dry","Pinot Noir","Pinot Noir","Unknown","Unknown","USA","California","Sonoma County","Russian River Valley"
"50000004","117690","Red","1/1/2021","2021","1","1","750ml","Drank from my cellar","USD","42.75","42.75","0","USD","book club Friday — January 2021","OrderId:500000002","","Kitchen","69-A","1996","J. Rochioli Pinot Noir Russian River Valley","USA, California, Sonoma County, Russian River Valley","Red","Dry","Pinot Noir","Pinot Noir","Unknown","Unknown","USA","California","Sonoma County","Russian River Valley"
"50000005","117690","Red","4/8/2020","2020","4","8","750ml","Drank from my cellar","USD","42.75","42.75","0","USD","ramen with Sam and Iris and Theo","OrderId:500000002","","Home Cellar","39-F","1996","J. Rochioli Pinot Noir Russian River Valley","USA, California, Sonoma County, Russian River Valley","Red","Dry","Pinot Noir","Pinot Noir","Unknown","Unknown","USA","California","Sonoma County","Russian River Valley"
"50000006","4345647","White - Sparkling","1/18/2020","2020","1","18","375ml","Drank from my cellar","USD","58.04","58.04","0","USD","slow-cooked short ribs with Sam and Kate and Josh","OrderId:500000002","","Off-site Storage","01-F","1001","Egly-Ouriet Champagne Grand Cru Extra Brut","France, Champagne, Champagne Grand Cru","White","Sparkling","Champagne Blend","Champagne Blend","Extra Brut","Unknown","France","Champagne","Unknown","Champagne Grand Cru"
"50000007","3487547","Red","8/11/2019","2019","8","11","750ml","Drank from my cellar","USD","80.45","80.45","0","USD","book club Friday — May 2020","OrderId:100000004","","Home Cellar","54-E","2018","Patricia Green Cellars Pinot Noir Medici Vineyard","USA, Oregon, Willamette Valley, Chehalem Mountains","Red","Dry","Pinot Noir","Pinot Noir","Unknown","Medici Vineyard","USA","Oregon","Willamette Valley","Chehalem Mountains"
"50000008","3487547","Red","7/6/2019","2019","7","6","750ml","Drank from my cellar","USD","80.45","80.45","0","USD","Sunday braise with Sam and Iris and Theo","OrderId:100000004","","Kitchen","69-A","2018","Patricia Green Cellars Pinot Noir Medici Vineyard","USA, Oregon, Willamette Valley, Chehalem Mountains","Red","Dry","Pinot Noir","Pinot Noir","Unknown","Medici Vineyard","USA","Oregon","Willamette Valley","Chehalem Mountains"
"50000009","3852947","Rosé - Sparkling","8/13/2019","2019","8","13","750ml","Drank from my cellar","USD","74.06","74.06","0","USD","roast chicken with Sam","OrderId:500000001","","Home Cellar","79-C","2020","Bérêche et Fils Champagne Campania Remensis Extra Brut","France, Champagne","Rosé","Sparkling","Champagne Blend","Champagne Blend","Campania Remensis Extra Brut","Unknown","France","Champagne","Unknown","Champagne"
