"iInventory","Pending","Barcode","WineBarcode","Price","Size","iWine","Type","Vintage","Wine","Producer","Varietal","Designation","Vineyard","Country","Region","SubRegion","Appellation","Note","StoreName","PurchaseDate","PurchaseNote","Location","Bin"
"200001227","0","0200001227","W4308337_750ml","64.36","750ml","4308337","Red","2019","Forey Père et Fils Vosne-Romanée Menhir","Forey Père et Fils","Pinot Noir","Menhir","Unknown","France","Burgundy","Côte de Nuits","Vosne-Romanée","","Liner & Elsen","3/22/2021","OrderId:100000406","Home Cellar","16-B"
"200001252","0","0200001252","W4294988_750ml","160.66","750ml","4294988","Red","2001","Emidio Pepe Montepulciano d'Abruzzo Vecchie Vigne","Emidio Pepe","Montepulciano","Vecchie Vigne","Unknown","Italy","Abruzzi","Unknown","Montepulciano d'Abruzzo","","Chambers Street","3/25/2021","OrderId:100000412","Kitchen","13-E"
"200001260","0","0200001260","W4790451_750ml","52.32","750ml","4790451","Red","2022","Arterberry Maresh Pinot Noir Old Vines","Arterberry Maresh","Pinot Noir","Old Vines","Unknown","USA","Oregon","Willamette Valley","Dundee Hills","","WineBid","3/23/2021","OrderId:100000415","Kitchen","62-F"
"200001261","0","0200001261","W4790451_750ml","52.32","750ml","4790451","Red","2022","Arterberry Maresh Pinot Noir Old Vines","Arterberry Maresh","Pinot Noir","Old Vines","Unknown","USA","Oregon","Willamette Valley","Dundee Hills","","WineBid","3/23/2021","OrderId:100000415","Kitchen","17-A"
"200001282","0","0200001282","W4828037_750ml","67.84","750ml","4828037","White - Sparkling","2021","Bérêche et Fils Champagne Rive Gauche","Bérêche et Fils","Pinot Meunier","Rive Gauche","Unknown","France","Champagne","Unknown","Champagne","","K&L Wine Merchants","3/26/2021","OrderId:100000423","Home Cellar","93-C"
"200001283","0","0200001283","W4828037_750ml","67.84","750ml","4828037","White - Sparkling","2021","Bérêche et Fils Champagne Rive Gauche","Bérêche et Fils","Pinot Meunier","Rive Gauche","Unknown","France","Champagne","Unknown","Champagne","","K&L Wine Merchants","3/26/2021","OrderId:100000423","Home Cellar","76-D"
"200001287","0","0200001287","W3903177_1.5L","142.06","1.5L","3903177","Red","2018","Spottswoode Cabernet Sauvignon Lyndenhurst","Spottswoode","Cabernet Sauvignon","Unknown","Lyndenhurst","USA","California","Napa Valley","St. Helena","","WineBid","4/20/2021","OrderId:100000426","Kitchen","90-E"
"200001288","0","0200001288","W3903177_1.5L","142.06","1.5L","3903177","Red","2018","Spottswoode Cabernet Sauvignon Lyndenhurst","Spottswoode","Cabernet Sauvignon","Unknown","Lyndenhurst","USA","California","Napa Valley","St. Helena","","WineBid","4/20/2021","OrderId:100000426","Home Cellar","50-B"
"200001289","0","0200001289","W3903177_1.5L","142.06","1.5L","3903177","Red","2018","Spottswoode Cabernet Sauvignon Lyndenhurst","Spottswoode","Cabernet Sauvignon","Unknown","Lyndenhurst","USA","California","Napa Valley","St. Helena","","WineBid","4/20/2021","OrderId:100000426","Off-site Storage","80-D"
"200001290","0","0200001290","W3903177_1.5L","142.06","1.5L","3903177","Red","2018","Spottswoode Cabernet Sauvignon Lyndenhurst","Spottswoode","Cabernet Sauvignon","Unknown","Lyndenhurst","USA","California","Napa Valley","St. Helena","nicked capsule","WineBid","4/20/2021","OrderId:100000426","Off-site Storage","47-F"
"200001292","0","0200001292","W3038305_750ml","31.69","750ml","3038305","White - Sparkling","2016","Acquiesce Grenache Blanc Methode Champenoise","Acquiesce","Grenache Blanc","Methode Champenoise","Unknown","USA","California","Central Valley","Lodi","","Cellar Allocation","4/21/2021","OrderId:500000058","Kitchen","34-B"
"200001293","0","0200001293","W3038305_750ml","31.69","750ml","3038305","White - Sparkling","2016","Acquiesce Grenache Blanc Methode Champenoise","Acquiesce","Grenache Blanc","Methode Champenoise","Unknown","USA","California","Central Valley","Lodi","","Cellar Allocation","4/21/2021","OrderId:500000058","Off-site Storage","37-A"
"200001296","0","0200001296","W5173236_750ml","74.60","750ml","5173236","Red","2022","Hirsch Vineyards Pinot Noir Raschen Ridge","Hirsch Vineyards","Pinot Noir","Raschen Ridge","Unknown","USA","California","Sonoma County","Sonoma Coast","","Winery Direct","4/25/2021","OrderId:500000057","Off-site Storage","58-A"
"200001297","0","0200001297","W5060889_750ml","76.24","750ml","5060889","White - Sparkling","2013","Charles Heintz Madison Hailey Blanc de Blancs","Charles Heintz","Chardonnay","Madison Hailey Blanc de Blancs","Unknown","USA","California","Sonoma County","Sonoma Coast","top-shoulder fill","WineBid","4/23/2021","OrderId:100000429","Home Cellar","72-E"
"200001298","0","0200001298","W5060889_750ml","76.24","750ml","5060889","White - Sparkling","2013","Charles Heintz Madison Hailey Blanc de Blancs","Charles Heintz","Chardonnay","Madison Hailey Blanc de Blancs","Unknown","USA","California","Sonoma County","Sonoma Coast","","WineBid","4/23/2021","OrderId:100000429","Home Cellar","54-A"
"200001299","0","0200001299","W1068764_375ml","38.23","375ml","1068764","White - Sparkling","2008","Laurent-Perrier Champagne Brut Millésimé","Laurent-Perrier","Champagne Blend","Brut Millésimé","Unknown","France","Champagne","Unknown","Champagne","","K&L Auctions","4/2/2021","OrderId:100000430","Home Cellar","93-C"
