"iNote","iWine","Type","Vintage","Wine","Locale","Producer","Varietal","MasterVarietal","Designation","Vineyard","Country","Region","SubRegion","Appellation","TastingDate","Defective","Views","fHelpful","fFavorite","Rating","EventLocation","EventTitle","iEvent","EventDate","EventEndDate","TastingNotes","fLikeIt","CNotes","CScore","LikeVotes","LikePercent","Votes","Comments"
"10000000","882264","White - Sparkling","1001","Egly-Ouriet Champagne Grand Cru VP","France, Champagne, Champagne Grand Cru","Egly-Ouriet","Champagne Blend","Champagne Blend","VP","Unknown","France","Champagne","Unknown","Champagne Grand Cru","6/10/2019","False","0","","0","90","","","","","","Nose of toasted almond, crushed chalk, lemon curd. Palate shows pinpoint bead, cutting acidity, fine mousse. Solid showing.","","","","","","",""
"10000001","117690","Red","1996","J. Rochioli Pinot Noir Russian River Valley","USA, California, Sonoma County, Russian River Valley","J. Rochioli","Pinot Noir","Pinot Noir","Unknown","Unknown","USA","California","Sonoma County","Russian River Valley","1/1/2021","False","0","","0","89","our place","book club Friday — January 2021","90000019","1/1/2021","1/1/2021","Nose of iron filings, forest floor, dark cherry. Palate shows taut tannins, structured grip, long savory finish. Solid showing.","","","","","","",""
"10000002","117690","Red","1996","J. Rochioli Pinot Noir Russian River Valley","USA, California, Sonoma County, Russian River Valley","J. Rochioli","Pinot Noir","Pinot Noir","Unknown","Unknown","USA","California","Sonoma County","Russian River Valley","4/8/2020","False","0","","0","90","","","","","","Nose of rose petal, wet stone, smoked meat. Palate shows taut tannins, iron and minerals. Solid showing.","","","","","","",""
"10000003","3487547","Red","2018","Patricia Green Cellars Pinot Noir Medici Vineyard","USA, Oregon, Willamette Valley, Chehalem Mountains","Patricia Green Cellars","Pinot Noir","Pinot Noir","Unknown","Medici Vineyard","USA","Oregon","Willamette Valley","Chehalem Mountains","5/1/2020","False","0","","0","91","our place","book club Friday — May 2020","90000011","5/1/2020","5/1/2020","Nose of iron filings, forest floor, rose petal. Palate shows taut tannins, iron and minerals. Good but not memorable.","","","","","","",""
"10000004","3487547","Red","2018","Patricia Green Cellars Pinot Noir Medici Vineyard","USA, Oregon, Willamette Valley, Chehalem Mountains","Patricia Green Cellars","Pinot Noir","Pinot Noir","Unknown","Medici Vineyard","USA","Oregon","Willamette Valley","Chehalem Mountains","7/6/2019","False","0","","0","90","","","","","","Nose of cedar, wet stone. Palate shows polished texture, taut tannins, earthy depth. Solid showing.","","","","","","",""
"10000005","3852947","Rosé - Sparkling","2020","Bérêche et Fils Champagne Campania Remensis Extra Brut","France, Champagne","Bérêche et Fils","Champagne Blend","Champagne Blend","Campania Remensis Extra Brut","Unknown","France","Champagne","Unknown","Champagne","8/13/2019","False","0","","0","92","","","","","","Nose of brioche, white peach, yellow apple. Palate shows fine mousse, pinpoint bead. Drinking beautifully.","","","","","","",""
"10000006","3852947","Rosé - Sparkling","2020","Bérêche et Fils Champagne Campania Remensis Extra Brut","France, Champagne","Bérêche et Fils","Champagne Blend","Champagne Blend","Campania Remensis Extra Brut","Unknown","France","Champagne","Unknown","Champagne","8/22/2019","False","0","","0","92","","","","","","Nose of brioche, yellow apple, biscuit. Palate shows fine mousse, rich autolysis, saline grip. On track.","","","","","","",""
"10000007","1308509","Red","2010","Joseph Drouhin Vosne-Romanée 1er Cru Les Petits Monts","France, Burgundy, Côte de Nuits, Vosne-Romanée 1er Cru","Joseph Drouhin","Pinot Noir","Pinot Noir","Unknown","Les Petits Monts","France","Burgundy","Côte de Nuits","Vosne-Romanée 1er Cru","1/3/2020","False","0","","0","91","our place","book club Friday — January 2020","90000007","1/3/2020","1/3/2020","Nose of wet stone, iron filings. Palate shows structured grip, earthy depth. On track.","","","","","","",""
"10000008","1308509","Red","2010","Joseph Drouhin Vosne-Romanée 1er Cru Les Petits Monts","France, Burgundy, Côte de Nuits, Vosne-Romanée 1er Cru","Joseph Drouhin","Pinot Noir","Pinot Noir","Unknown","Les Petits Monts","France","Burgundy","Côte de Nuits","Vosne-Romanée 1er Cru","10/26/2019","False","0","","0","92","","","","","","Nose of tobacco leaf, cedar, blackberry. Palate shows long savory finish, earthy depth, pretty fruit core. Pleasant if uncomplicated.","","","","","","",""
"10000009","1308509","Red","2010","Joseph Drouhin Vosne-Romanée 1er Cru Les Petits Monts","France, Burgundy, Côte de Nuits, Vosne-Romanée 1er Cru","Joseph Drouhin","Pinot Noir","Pinot Noir","Unknown","Les Petits Monts","France","Burgundy","Côte de Nuits","Vosne-Romanée 1er Cru","12/6/2019","False","0","","0","87","","","","","","Disappointing.","","","","","","",""
