"iWine","iPurchase","PurchaseDate","DeliveryDate","StoreName","Currency","ExchangeRate","Price","NativePrice","NativePriceCurrency","Quantity","Remaining","OrderNumber","Delivered","Size","Vintage","Wine","Locale","Type","Color","Category","Producer","Varietal","MasterVarietal","Designation","Vineyard","Country","Region","SubRegion","Appellation"
"600444","100000000","5/20/2019","8/15/2019","Astor Wines","USD","1","196.07","196.07","USD","2","0","OrderId:100000000","True","1.5L","1998","Cameron Pinot Noir Abbey Ridge","USA, Oregon, Willamette Valley, Dundee Hills","Red","Red","Dry","Cameron","Pinot Noir","Pinot Noir","Unknown","Abbey Ridge","USA","Oregon","Willamette Valley","Dundee Hills"
"882264","100000001","5/20/2019","6/5/2019","Liner & Elsen","USD","1","67.38","67.38","USD","1","0","OrderId:100000001","True","375ml","1001","Egly-Ouriet Champagne Grand Cru VP","France, Champagne, Champagne Grand Cru","White - Sparkling","White","Sparkling","Egly-Ouriet","Champagne Blend","Champagne Blend","VP","Unknown","France","Champagne","Unknown","Champagne Grand Cru"
"117690","100000002","5/7/2019","2/10/2020","Winery Direct","USD","1","42.75","42.75","USD","3","0","OrderId:500000002","True","750ml","1996","J. Rochioli Pinot Noir Russian River Valley","USA, California, Sonoma County, Russian River Valley","Red","Red","Dry","J. Rochioli","Pinot Noir","Pinot Noir","Unknown","Unknown","USA","California","Sonoma County","Russian River Valley"
"4345647","100000003","5/7/2019","1/15/2020","Winery Direct","USD","1","58.04","58.04","USD","1","0","OrderId:500000002","True","375ml","1001","Egly-Ouriet Champagne Grand Cru Extra Brut","France, Champagne, Champagne Grand Cru","White - Sparkling","White","Sparkling","Egly-Ouriet","Champagne Blend","Champagne Blend","Extra Brut","Unknown","France","Champagne","Unknown","Champagne Grand Cru"
"3487547","100000004","5/25/2019","6/11/2019","Chambers Street","USD","1","80.45","80.45","USD","2","0","OrderId:100000004","True","750ml","2018","Patricia Green Cellars Pinot Noir Medici Vineyard","USA, Oregon, Willamette Valley, Chehalem Mountains","Red","Red","Dry","Patricia Green Cellars","Pinot Noir","Pinot Noir","Unknown","Medici Vineyard","USA","Oregon","Willamette Valley","Chehalem Mountains"
"3852947","100000005","5/11/2019","8/13/2019","Mailing List","USD","1","74.06","74.06","USD","2","0","OrderId:500000001","True","750ml","2020","Bérêche et Fils Champagne Campania Remensis Extra Brut","France, Champagne","Rosé - Sparkling","Rosé","Sparkling","Bérêche et Fils","Champagne Blend","Champagne Blend","Campania Remensis Extra Brut","Unknown","France","Champagne","Unknown","Champagne"
"1308509","100000006","5/16/2019","10/15/2019","Winery Direct","USD","1","241.43","241.43","USD","5","0","OrderId:500000000","True","750ml","2010","Joseph Drouhin Vosne-Romanée 1er Cru Les Petits Monts","France, Burgundy, Côte de Nuits, Vosne-Romanée 1er Cru","Red","Red","Dry","Joseph Drouhin","Pinot Noir","Pinot Noir","Unknown","Les Petits Monts","France","Burgundy","Côte de Nuits","Vosne-Romanée 1er Cru"
"1186851","100000007","5/11/2019","6/20/2020","Mailing List","USD","1","3295.94","3295.94","USD","6","0","OrderId:500000001","True","750ml","2010","François Raveneau Chablis 1er Cru Montée de Tonnerre","France, Burgundy, Chablis, Chablis 1er Cru","White","White","Dry","François Raveneau","Chardonnay","Chardonnay","Unknown","Montée de Tonnerre","France","Burgundy","Chablis","Chablis 1er Cru"
"2293523","100000008","5/5/2019","5/27/2019","Chambers Street","USD","1","36.60","36.60","USD","11","0","OrderId:100000008","True","750ml","1001","Roger Coulon Champagne Premier Cru Heri-Hodie","France, Champagne, Champagne Premier Cru","White - Sparkling","White","Sparkling","Roger Coulon","Champagne Blend","Champagne Blend","Heri-Hodie","Unknown","France","Champagne","Unknown","Champagne Premier Cru"
"2376876","100000009","5/16/2019","1/22/2020","Winery Direct","USD","1","68.91","68.91","USD","1","0","OrderId:500000000","True","750ml","2014","Domaine Stephane Magnien Clos Saint-Denis","France, Burgundy, Côte de Nuits, Clos Saint-Denis Grand Cru","Red","Red","Dry","Domaine Stephane Magnien","Pinot Noir","Pinot Noir","Unknown","Unknown","France","Burgundy","Côte de Nuits","Clos Saint-Denis Grand Cru"
"882264","100000010","5/11/2019","7/9/2019","Gift","USD","1","0.00","0.00","USD","3","0","OrderId:100000010","True","750ml","1001","Egly-Ouriet Champagne Grand Cru VP","France, Champagne, Champagne Grand Cru","White - Sparkling","White","Sparkling","Egly-Ouriet","Champagne Blend","Champagne Blend","VP","Unknown","France","Champagne","Unknown","Champagne Grand Cru"
"3834454","100000011","5/12/2019","6/18/2019","Astor Wines","USD","1","321.32","321.32","USD","4","0","OrderId:100000011","True","750ml","2019","Domaine Armand Rousseau Père et Fils Gevrey-Chambertin Clos du Château","France, Burgundy, Côte de Nuits, Gevrey-Chambertin","Red","Red","Dry","Domaine Armand Rousseau Père et Fils","Pinot Noir","Pinot Noir","Unknown","Clos du Château","France","Burgundy","Côte de Nuits","Gevrey-Chambertin"
"4635721","100000012","5/7/2019","1/8/2020","Winery Direct","USD","1","27.99","27.99","USD","4","0","OrderId:500000002","True","375ml","1001","Krug Champagne Brut Grande Cuvée Edition 171eme","France, Champagne","White - Sparkling","White","Sparkling","Krug","Champagne Blend","Champagne Blend","Brut Grande Cuvée Edition 171eme","Unknown","France","Champagne","Unknown","Champagne"
