"iConsumed","iWine","Type","Consumed","ConsumedYear","ConsumedMonth","ConsumedDay","Size","ShortType","Currency","Value","Price","Revenue","RevenueCurrency","ConsumptionNote","PurchaseNote","BottleNote","Location","Bin","Vintage","Wine","Locale","Color","Category","Varietal","MasterVarietal","Designation","Vineyard","Country","Region","SubRegion","Appellation"
"50000000","3185456","Red","2/1/2026","2026","2","1","750ml","Drank from my cellar","USD","233.70","233.70","0","USD","","OrderId:100000000","","Apartment Cellar","59-C","2017","Domaine Chandon de Briailles Corton-Clos du Roi","France, Burgundy, Côte de Beaune, Corton Grand Cru","Red","Dry","Pinot Noir","Pinot Noir","Unknown","Clos du Roi","France","Burgundy","Côte de Beaune","Corton Grand Cru"
"50000001","3185456","Red","11/29/2023","2023","11","29","750ml","Drank from my cellar","USD","233.70","233.70","0","USD","","OrderId:100000000","","Closet Cooler","01-B","2017","Domaine Chandon de Briailles Corton-Clos du Roi","France, Burgundy, Côte de Beaune, Corton Grand Cru","Red","Dry","Pinot Noir","Pinot Noir","Unknown","Clos du Roi","France","Burgundy","Côte de Beaune","Corton Grand Cru"
"50000002","5139431","White - Sparkling","6/8/2024","2024","6","8","750ml","Drank from my cellar","USD","64.28","64.28","0","USD","Champagne Saturday — December 2024","OrderId:100000001","","Apartment Cellar","","1001","Elise Dechannes Champagne L'Alpha & L'Omega Les Riceys","France, Champagne","White","Sparkling","Pinot Noir","Pinot Noir","L'Alpha & L'Omega","Les Riceys","France","Champagne","Unknown","Champagne"
"50000003","5139431","White - Sparkling","9/14/2024","2024","9","14","750ml","Drank from my cellar","USD","64.28","64.28","0","USD","","OrderId:100000001","","Closet Cooler","09-A","1001","Elise Dechannes Champagne L'Alpha & L'Omega Les Riceys","France, Champagne","White","Sparkling","Pinot Noir","Pinot Noir","L'Alpha & L'Omega","Les Riceys","France","Champagne","Unknown","Champagne"
"50000004","5139431","White - Sparkling","6/28/2023","2023","6","28","750ml","Drank from my cellar","USD","64.28","64.28","0","USD","grilled salmon with Alex","OrderId:100000001","","Closet Cooler","52-C","1001","Elise Dechannes Champagne L'Alpha & L'Omega Les Riceys","France, Champagne","White","Sparkling","Pinot Noir","Pinot Noir","L'Alpha & L'Omega","Les Riceys","France","Champagne","Unknown","Champagne"
"50000005","5139431","White - Sparkling","6/17/2023","2023","6","17","750ml","Drank from my cellar","USD","64.28","64.28","0","USD","ribeye on the grill with alone","OrderId:100000001","","Closet Cooler","78-E","1001","Elise Dechannes Champagne L'Alpha & L'Omega Les Riceys","France, Champagne","White","Sparkling","Pinot Noir","Pinot Noir","L'Alpha & L'Omega","Les Riceys","France","Champagne","Unknown","Champagne"
"50000006","5139431","White - Sparkling","6/5/2023","2023","6","5","750ml","Drank from my cellar","USD","64.28","64.28","0","USD","stir-fry with Alex","OrderId:100000001","","Closet Cooler","51-F","1001","Elise Dechannes Champagne L'Alpha & L'Omega Les Riceys","France, Champagne","White","Sparkling","Pinot Noir","Pinot Noir","L'Alpha & L'Omega","Les Riceys","France","Champagne","Unknown","Champagne"
"50000007","4660795","Red","8/4/2023","2023","8","4","750ml","Drank from my cellar","USD","135.89","135.89","0","USD","grilled salmon with Alex","OrderId:100000002","","Closet Cooler","","2022","Jean-Pierre Guyon Vosne-Romanée","France, Burgundy, Côte de Nuits, Vosne-Romanée","Red","Dry","Pinot Noir","Pinot Noir","Unknown","Unknown","France","Burgundy","Côte de Nuits","Vosne-Romanée"
"50000008","4969609","White - Sparkling","12/12/2023","2023","12","12","750ml","Drank from my cellar","USD","265.51","265.51","0","USD","weeknight pasta with Alex","OrderId:100000003","","Apartment Cellar","19-C","1001","Ulysse Collin Champagne Blanc de Noirs Extra Brut (2019) Les Maillons","France, Champagne","White","Sparkling","Pinot Noir","Pinot Noir","Blanc de Noirs Extra Brut (2019)","Les Maillons","France","Champagne","Unknown","Champagne"
"50000009","4969609","White - Sparkling","6/11/2023","2023","6","11","750ml","Drank from my cellar","USD","265.51","265.51","0","USD","slow-cooked short ribs with Alex","OrderId:100000003","","Closet Cooler","56-C","1001","Ulysse Collin Champagne Blanc de Noirs Extra Brut (2019) Les Maillons","France, Champagne","White","Sparkling","Pinot Noir","Pinot Noir","Blanc de Noirs Extra Brut (2019)","Les Maillons","France","Champagne","Unknown","Champagne"
"50000010","4969609","White - Sparkling","6/16/2023","2023","6","16","750ml","Drank from my cellar","USD","265.51","265.51","0","USD","Father's Day — homemade pizza with Alex","OrderId:100000003","","Apartment Cellar","35-A","1001","Ulysse Collin Champagne Blanc de Noirs Extra Brut (2019) Les Maillons","France, Champagne","White","Sparkling","Pinot Noir","Pinot Noir","Blanc de Noirs Extra Brut (2019)","Les Maillons","France","Champagne","Unknown","Champagne"
"50000011","4567028","White - Sparkling","9/8/2023","2023","9","8","750ml","Drank from my cellar","USD","83.43","83.43","0","USD","","OrderId:100000004","","Apartment Cellar","02-C","2018","Frédéric Savart / Drémont Père & Fils Champagne Grand Cru Éphémère 018","France, Champagne, Champagne Grand Cru","Red","Dry","Chardonnay","Chardonnay","Éphémère 018","Unknown","France","Champagne","Unknown","Champagne Grand Cru"
