"iInventory","Pending","Barcode","WineBarcode","Price","Size","iWine","Type","Vintage","Wine","Producer","Varietal","Designation","Vineyard","Country","Region","SubRegion","Appellation","Note","StoreName","PurchaseDate","PurchaseNote","Location","Bin"
"200000381","1","0200000381","W4634657_750ml","94.23","750ml","4634657","Red","2022","Jean-Claude Lapalu Brouilly Vieilles Vignes","Jean-Claude Lapalu","Gamay","Vieilles Vignes","Unknown","France","Burgundy","Beaujolais","Brouilly","","Bottle Barn","12/18/2023","OrderId:100000139","(pending)",""
"200000382","1","0200000382","W4634657_750ml","94.23","750ml","4634657","Red","2022","Jean-Claude Lapalu Brouilly Vieilles Vignes","Jean-Claude Lapalu","Gamay","Vieilles Vignes","Unknown","France","Burgundy","Beaujolais","Brouilly","","Bottle Barn","12/18/2023","OrderId:100000139","(pending)",""
"200000383","1","0200000383","W4634657_750ml","94.23","750ml","4634657","Red","2022","Jean-Claude Lapalu Brouilly Vieilles Vignes","Jean-Claude Lapalu","Gamay","Vieilles Vignes","Unknown","France","Burgundy","Beaujolais","Brouilly","","Bottle Barn","12/18/2023","OrderId:100000139","(pending)",""
"200000500","1","0200000500","W2414945_750ml","294.53","750ml","2414945","Red","2015","Domaine Méo-Camuzet Nuits-Saint-Georges 1er Cru Aux Murgers","Domaine Méo-Camuzet","Pinot Noir","Unknown","Aux Murgers","France","Burgundy","Côte de Nuits","Nuits-Saint-Georges 1er Cru","","Astor Wines","2/7/2024","OrderId:100000185","(pending)",""
"200000501","1","0200000501","W2414945_750ml","294.53","750ml","2414945","Red","2015","Domaine Méo-Camuzet Nuits-Saint-Georges 1er Cru Aux Murgers","Domaine Méo-Camuzet","Pinot Noir","Unknown","Aux Murgers","France","Burgundy","Côte de Nuits","Nuits-Saint-Georges 1er Cru","","Astor Wines","2/7/2024","OrderId:100000185","(pending)",""
"200000578","0","0200000578","W5658777_750ml","41.97","750ml","5658777","Red","2024","Williams Selyem Pinot Noir Sonoma County","Williams Selyem","Pinot Noir","Unknown","Unknown","USA","California","Sonoma County","Sonoma County","","Winery Direct","5/15/2024","OrderId:500000010","Closet Cooler","67-E"
"200000579","0","0200000579","W5658777_750ml","41.97","750ml","5658777","Red","2024","Williams Selyem Pinot Noir Sonoma County","Williams Selyem","Pinot Noir","Unknown","Unknown","USA","California","Sonoma County","Sonoma County","","Winery Direct","5/15/2024","OrderId:500000010","Apartment Cellar","14-D"
"200000581","0","0200000581","W4562924_750ml","143.47","750ml","4562924","Red","2021","Hubert Lignier Morey-Saint-Denis 1er Cru La Riotte","Hubert Lignier","Pinot Noir","Unknown","La Riotte","France","Burgundy","Côte de Nuits","Morey-Saint-Denis 1er Cru","signs of past seepage","K&L Auctions","5/21/2024","OrderId:100000211","Apartment Cellar","93-F"
"200000582","0","0200000582","W4562924_750ml","143.47","750ml","4562924","Red","2021","Hubert Lignier Morey-Saint-Denis 1er Cru La Riotte","Hubert Lignier","Pinot Noir","Unknown","La Riotte","France","Burgundy","Côte de Nuits","Morey-Saint-Denis 1er Cru","","K&L Auctions","5/21/2024","OrderId:100000211","Closet Cooler","86-D"
"200000583","0","0200000583","W2865607_750ml","119.45","750ml","2865607","Red","2016","Domaine Fourrier Chambolle-Musigny 1er Cru Les Gruenchers Vieille Vigne","Domaine Fourrier","Pinot Noir","Vieille Vigne","Les Gruenchers","France","Burgundy","Côte de Nuits","Chambolle-Musigny 1er Cru","","K&L Auctions","5/19/2024","OrderId:100000212","Apartment Cellar","34-B"
"200000584","0","0200000584","W2865607_750ml","119.45","750ml","2865607","Red","2016","Domaine Fourrier Chambolle-Musigny 1er Cru Les Gruenchers Vieille Vigne","Domaine Fourrier","Pinot Noir","Vieille Vigne","Les Gruenchers","France","Burgundy","Côte de Nuits","Chambolle-Musigny 1er Cru","","K&L Auctions","5/19/2024","OrderId:100000212","Apartment Cellar","35-A"
"200000585","0","0200000585","W2865607_750ml","119.45","750ml","2865607","Red","2016","Domaine Fourrier Chambolle-Musigny 1er Cru Les Gruenchers Vieille Vigne","Domaine Fourrier","Pinot Noir","Vieille Vigne","Les Gruenchers","France","Burgundy","Côte de Nuits","Chambolle-Musigny 1er Cru","","K&L Auctions","5/19/2024","OrderId:100000212","Apartment Cellar","08-D"
"200000586","0","0200000586","W2865607_750ml","119.45","750ml","2865607","Red","2016","Domaine Fourrier Chambolle-Musigny 1er Cru Les Gruenchers Vieille Vigne","Domaine Fourrier","Pinot Noir","Vieille Vigne","Les Gruenchers","France","Burgundy","Côte de Nuits","Chambolle-Musigny 1er Cru","","K&L Auctions","5/19/2024","OrderId:100000212","Apartment Cellar",""
"200000587","0","0200000587","W2865607_750ml","119.45","750ml","2865607","Red","2016","Domaine Fourrier Chambolle-Musigny 1er Cru Les Gruenchers Vieille Vigne","Domaine Fourrier","Pinot Noir","Vieille Vigne","Les Gruenchers","France","Burgundy","Côte de Nuits","Chambolle-Musigny 1er Cru","","K&L Auctions","5/19/2024","OrderId:100000212","Closet Cooler","69-B"
"200000592","0","0200000592","W4956949_750ml","83.24","750ml","4956949","White","2022","Domaine Chanterêves Corton-Charlemagne","Domaine Chanterêves","Chardonnay","Unknown","Unknown","France","Burgundy","Côte de Beaune","Corton-Charlemagne Grand Cru","","WineBid","5/22/2024","OrderId:100000216","Apartment Cellar","37-A"
"200000593","0","0200000593","W4956949_750ml","83.24","750ml","4956949","White","2022","Domaine Chanterêves Corton-Charlemagne","Domaine Chanterêves","Chardonnay","Unknown","Unknown","France","Burgundy","Côte de Beaune","Corton-Charlemagne Grand Cru","","WineBid","5/22/2024","OrderId:100000216","Apartment Cellar","85-B"
"200000594","0","0200000594","W4956949_750ml","83.24","750ml","4956949","White","2022","Domaine Chanterêves Corton-Charlemagne","Domaine Chanterêves","Chardonnay","Unknown","Unknown","France","Burgundy","Côte de Beaune","Corton-Charlemagne Grand Cru","","WineBid","5/22/2024","OrderId:100000216","Closet Cooler","84-E"
"200000595","0","0200000595","W4956949_750ml","83.24","750ml","4956949","White","2022","Domaine Chanterêves Corton-Charlemagne","Domaine Chanterêves","Chardonnay","Unknown","Unknown","France","Burgundy","Côte de Beaune","Corton-Charlemagne Grand Cru","top-shoulder fill","WineBid","5/22/2024","OrderId:100000216","Apartment Cellar","38-B"
"200000596","0","0200000596","W4956949_750ml","83.24","750ml","4956949","White","2022","Domaine Chanterêves Corton-Charlemagne","Domaine Chanterêves","Chardonnay","Unknown","Unknown","France","Burgundy","Côte de Beaune","Corton-Charlemagne Grand Cru","","WineBid","5/22/2024","OrderId:100000216","Closet Cooler",""
"200000597","0","0200000597","W4956949_750ml","83.24","750ml","4956949","White","2022","Domaine Chanterêves Corton-Charlemagne","Domaine Chanterêves","Chardonnay","Unknown","Unknown","France","Burgundy","Côte de Beaune","Corton-Charlemagne Grand Cru","","WineBid","5/22/2024","OrderId:100000216","Apartment Cellar","22-F"
"200000598","0","0200000598","W4956949_750ml","83.24","750ml","4956949","White","2022","Domaine Chanterêves Corton-Charlemagne","Domaine Chanterêves","Chardonnay","Unknown","Unknown","France","Burgundy","Côte de Beaune","Corton-Charlemagne Grand Cru","","WineBid","5/22/2024","OrderId:100000216","Apartment Cellar","05-D"
"200000599","0","0200000599","W4956949_750ml","83.24","750ml","4956949","White","2022","Domaine Chanterêves Corton-Charlemagne","Domaine Chanterêves","Chardonnay","Unknown","Unknown","France","Burgundy","Côte de Beaune","Corton-Charlemagne Grand Cru","","WineBid","5/22/2024","OrderId:100000216","Apartment Cellar",""
"200000604","0","0200000604","W3208698_1.5L","193.36","1.5L","3208698","Red","2008","Egly-Ouriet Coteaux Champenois Cuvée des Grands Côtés Vieilles Vignes Rouge Ambonnay","Egly-Ouriet","Pinot Noir","Cuvée des Grands Côtés Vieilles Vignes Rouge","Ambonnay","France","Champagne","Unknown","Coteaux Champenois","","Flatiron Wines","5/23/2024","OrderId:100000219","Apartment Cellar","20-E"
