"iNote","iWine","Type","Vintage","Wine","Locale","Producer","Varietal","MasterVarietal","Designation","Vineyard","Country","Region","SubRegion","Appellation","TastingDate","Defective","Views","fHelpful","fFavorite","Rating","EventLocation","EventTitle","iEvent","EventDate","EventEndDate","TastingNotes","fLikeIt","CNotes","CScore","LikeVotes","LikePercent","Votes","Comments"
"10000000","5139431","White - Sparkling","1001","Elise Dechannes Champagne L'Alpha & L'Omega Les Riceys","France, Champagne","Elise Dechannes","Pinot Noir","Pinot Noir","L'Alpha & L'Omega","Les Riceys","France","Champagne","Unknown","Champagne","12/28/2024","False","0","","0","88","home","Champagne Saturday — December 2024","90000041","12/28/2024","12/28/2024","Nose of crushed chalk, iodine. Palate shows cutting acidity, pinpoint bead, saline grip. Pleasant if uncomplicated.","","","","","","",""
"10000001","5139431","White - Sparkling","1001","Elise Dechannes Champagne L'Alpha & L'Omega Les Riceys","France, Champagne","Elise Dechannes","Pinot Noir","Pinot Noir","L'Alpha & L'Omega","Les Riceys","France","Champagne","Unknown","Champagne","6/17/2023","False","0","","0","91","home","Saturday bubbles — June 2023","90000001","6/17/2023","6/17/2023","Nose of white peach, yellow apple, toasted almond. Palate shows long chalky finish, saline grip, rich autolysis. Needs more time.","","","","","","",""
"10000002","5139431","White - Sparkling","1001","Elise Dechannes Champagne L'Alpha & L'Omega Les Riceys","France, Champagne","Elise Dechannes","Pinot Noir","Pinot Noir","L'Alpha & L'Omega","Les Riceys","France","Champagne","Unknown","Champagne","6/5/2023","False","0","","0","89","","","","","","Nose of biscuit, iodine. Palate shows saline grip, cutting acidity. Solid showing.","","","","","","",""
"10000003","4969609","White - Sparkling","1001","Ulysse Collin Champagne Blanc de Noirs Extra Brut (2019) Les Maillons","France, Champagne","Ulysse Collin","Pinot Noir","Pinot Noir","Blanc de Noirs Extra Brut (2019)","Les Maillons","France","Champagne","Unknown","Champagne","6/17/2023","False","0","","0","89","home","Saturday bubbles — June 2023","90000001","6/17/2023","6/17/2023","Nose of brioche, white peach, yellow apple. Palate shows long chalky finish, rich autolysis. Solid showing.","","","","","","",""
"10000004","4969609","White - Sparkling","1001","Ulysse Collin Champagne Blanc de Noirs Extra Brut (2019) Les Maillons","France, Champagne","Ulysse Collin","Pinot Noir","Pinot Noir","Blanc de Noirs Extra Brut (2019)","Les Maillons","France","Champagne","Unknown","Champagne","6/3/2023","False","0","","0","86","home","blind Champagne flight — June 2023","90000000","6/3/2023","6/3/2023","Disappointing.","","","","","","",""
"10000005","4969609","White - Sparkling","1001","Ulysse Collin Champagne Blanc de Noirs Extra Brut (2019) Les Maillons","France, Champagne","Ulysse Collin","Pinot Noir","Pinot Noir","Blanc de Noirs Extra Brut (2019)","Les Maillons","France","Champagne","Unknown","Champagne","6/3/2023","False","0","","0","90","home","blind Champagne flight — June 2023","90000000","6/3/2023","6/3/2023","Nose of crushed chalk, iodine, biscuit. Palate shows pinpoint bead, saline grip. On track.","","","","","","",""
"10000006","4567028","White - Sparkling","2018","Frédéric Savart / Drémont Père & Fils Champagne Grand Cru Éphémère 018","France, Champagne, Champagne Grand Cru","Frédéric Savart / Drémont Père & Fils","Chardonnay","Chardonnay","Éphémère 018","Unknown","France","Champagne","Unknown","Champagne Grand Cru","7/1/2023","False","0","","0","84","home","Champagne Saturday — July 2023","90000002","7/1/2023","7/1/2023","Just not for me.","","","","","","",""
"10000007","4567028","White - Sparkling","2018","Frédéric Savart / Drémont Père & Fils Champagne Grand Cru Éphémère 018","France, Champagne, Champagne Grand Cru","Frédéric Savart / Drémont Père & Fils","Chardonnay","Chardonnay","Éphémère 018","Unknown","France","Champagne","Unknown","Champagne Grand Cru","7/1/2023","False","0","","0","96","home","Champagne Saturday — July 2023","90000002","7/1/2023","7/1/2023","Nose of white peach, brioche, iodine. Palate shows rich autolysis, pinpoint bead, saline grip. Hits its stride. Bottle of the year so far.","","","","","","",""
"10000008","4567028","White - Sparkling","2018","Frédéric Savart / Drémont Père & Fils Champagne Grand Cru Éphémère 018","France, Champagne, Champagne Grand Cru","Frédéric Savart / Drémont Père & Fils","Chardonnay","Chardonnay","Éphémère 018","Unknown","France","Champagne","Unknown","Champagne Grand Cru","6/29/2024","False","0","","0","94","home","blind Champagne flight — June 2024","90000028","6/29/2024","6/29/2024","Nose of yellow apple, white peach, lemon curd. Palate shows fine mousse, rich autolysis, saline grip. Outstanding bottle.","","","","","","",""
"10000009","4567028","White - Sparkling","2018","Frédéric Savart / Drémont Père & Fils Champagne Grand Cru Éphémère 018","France, Champagne, Champagne Grand Cru","Frédéric Savart / Drémont Père & Fils","Chardonnay","Chardonnay","Éphémère 018","Unknown","France","Champagne","Unknown","Champagne Grand Cru","7/1/2023","False","0","","0","92","home","Champagne Saturday — July 2023","90000002","7/1/2023","7/1/2023","Nose of brioche, crushed chalk. Palate shows saline grip, long chalky finish. Good but not memorable.","","","","","","",""
