"iWine","iPurchase","PurchaseDate","DeliveryDate","StoreName","Currency","ExchangeRate","Price","NativePrice","NativePriceCurrency","Quantity","Remaining","OrderNumber","Delivered","Size","Vintage","Wine","Locale","Type","Color","Category","Producer","Varietal","MasterVarietal","Designation","Vineyard","Country","Region","SubRegion","Appellation"
"3185456","100000000","5/19/2023","7/5/2023","K&L Wine Merchants","USD","1","233.70","233.70","USD","2","0","OrderId:100000000","True","750ml","2017","Domaine Chandon de Briailles Corton-Clos du Roi","France, Burgundy, Côte de Beaune, Corton Grand Cru","Red","Red","Dry","Domaine Chandon de Briailles","Pinot Noir","Pinot Noir","Unknown","Clos du Roi","France","Burgundy","Côte de Beaune","Corton Grand Cru"
"5139431","100000001","5/1/2023","5/29/2023","WineBid","USD","1","64.28","64.28","USD","5","0","OrderId:100000001","True","750ml","1001","Elise Dechannes Champagne L'Alpha & L'Omega Les Riceys","France, Champagne","White - Sparkling","White","Sparkling","Elise Dechannes","Pinot Noir","Pinot Noir","L'Alpha & L'Omega","Les Riceys","France","Champagne","Unknown","Champagne"
"4660795","100000002","5/27/2023","7/11/2023","Bottle Barn","USD","1","135.89","135.89","USD","1","0","OrderId:100000002","True","750ml","2022","Jean-Pierre Guyon Vosne-Romanée","France, Burgundy, Côte de Nuits, Vosne-Romanée","Red","Red","Dry","Jean-Pierre Guyon","Pinot Noir","Pinot Noir","Unknown","Unknown","France","Burgundy","Côte de Nuits","Vosne-Romanée"
"4969609","100000003","5/14/2023","5/31/2023","Flatiron Wines","USD","1","265.51","265.51","USD","3","0","OrderId:100000003","True","750ml","1001","Ulysse Collin Champagne Blanc de Noirs Extra Brut (2019) Les Maillons","France, Champagne","White - Sparkling","White","Sparkling","Ulysse Collin","Pinot Noir","Pinot Noir","Blanc de Noirs Extra Brut (2019)","Les Maillons","France","Champagne","Unknown","Champagne"
"4567028","100000004","5/13/2023","6/21/2023","Astor Wines","USD","1","83.43","83.43","USD","4","0","OrderId:100000004","True","750ml","2018","Frédéric Savart / Drémont Père & Fils Champagne Grand Cru Éphémère 018","France, Champagne, Champagne Grand Cru","White - Sparkling","Red","Dry","Frédéric Savart / Drémont Père & Fils","Chardonnay","Chardonnay","Éphémère 018","Unknown","France","Champagne","Unknown","Champagne Grand Cru"
"4567028","100000005","5/26/2023","6/28/2023","K&L Wine Merchants","USD","1","106.93","106.93","USD","3","0","OrderId:100000005","True","750ml","2018","Frédéric Savart / Drémont Père & Fils Champagne Grand Cru Éphémère 018","France, Champagne, Champagne Grand Cru","White - Sparkling","Red","Dry","Frédéric Savart / Drémont Père & Fils","Chardonnay","Chardonnay","Éphémère 018","Unknown","France","Champagne","Unknown","Champagne Grand Cru"
"2309377","100000006","5/6/2023","6/11/2023","Astor Wines","USD","1","88.86","88.86","USD","4","0","OrderId:100000006","True","750ml","2014","Domaine Arlaud Morey-Saint-Denis 1er Cru Les Ruchots","France, Burgundy, Côte de Nuits, Morey-Saint-Denis 1er Cru","Red","Red","Dry","Domaine Arlaud","Pinot Noir","Pinot Noir","Unknown","Les Ruchots","France","Burgundy","Côte de Nuits","Morey-Saint-Denis 1er Cru"
"4657007","100000007","5/24/2023","7/14/2023","Chambers Street","USD","1","28.77","28.77","USD","1","0","OrderId:100000007","True","750ml","2022","Willi Schaefer Graacher Riesling feinherb","Germany, Mosel Saar Ruwer","White - Off-dry","White","Dry","Willi Schaefer","Riesling","Riesling","feinherb","Graacher","Germany","Mosel Saar Ruwer","Unknown","Unknown"
"5050215","100000008","5/24/2023","6/28/2023","Flatiron Wines","USD","1","263.30","263.30","USD","2","0","OrderId:100000008","True","750ml","2020","Roses de Jeanne / Cédric Bouchard Champagne UR/R20","France, Champagne","White - Sparkling","White","Sparkling","Roses de Jeanne / Cédric Bouchard","Pinot Noir","Pinot Noir","UR/R20","Unknown","France","Champagne","Unknown","Champagne"
"4442038","100000009","5/8/2023","7/19/2023","K&L Wine Merchants","USD","1","94.87","94.87","USD","2","0","OrderId:100000009","True","750ml","1001","Jacques Lassaigne Champagne Extra Brut Blanc de Blancs La Colline Inspirée","France, Champagne","White - Sparkling","White","Sparkling","Jacques Lassaigne","Chardonnay","Chardonnay","Extra Brut Blanc de Blancs La Colline Inspirée","Unknown","France","Champagne","Unknown","Champagne"
"2879253","100000010","5/16/2023","2/12/2024","Mailing List","USD","1","261.89","261.89","USD","5","0","OrderId:100000010","True","750ml","1001","Krug Champagne Brut Grande Cuvée Edition 165eme","France, Champagne","White - Sparkling","White","Sparkling","Krug","Champagne Blend","Champagne Blend","Brut Grande Cuvée Edition 165eme","Unknown","France","Champagne","Unknown","Champagne"
"2879253","100000011","6/10/2023","6/29/2023","Bottle Barn","USD","1","288.37","288.37","USD","2","0","OrderId:100000011","True","750ml","1001","Krug Champagne Brut Grande Cuvée Edition 165eme","France, Champagne","White - Sparkling","White","Sparkling","Krug","Champagne Blend","Champagne Blend","Brut Grande Cuvée Edition 165eme","Unknown","France","Champagne","Unknown","Champagne"
"2635678","100000012","6/12/2023","7/24/2023","K&L Wine Merchants","USD","1","488.34","488.34","USD","4","0","OrderId:100000012","True","750ml","2015","Domaine Dujac Vosne-Romanée 1er Cru Aux Malconsorts","France, Burgundy, Côte de Nuits, Vosne-Romanée 1er Cru","Red","Red","Dry","Domaine Dujac","Pinot Noir","Pinot Noir","Unknown","Aux Malconsorts","France","Burgundy","Côte de Nuits","Vosne-Romanée 1er Cru"
"4958295","100000013","6/24/2023","8/16/2023","K&L Auctions","USD","1","95.02","95.02","USD","1","0","OrderId:100000013","True","750ml","2014","Roger Coulon Champagne Blanc de Noirs Millesime","France, Champagne","White - Sparkling","White","Sparkling","Roger Coulon","Pinot Blend","Pinot Noir","Blanc de Noirs Millesime","Unknown","France","Champagne","Unknown","Champagne"
"4111394","100000014","6/18/2023","9/8/2023","Flatiron Wines","USD","1","132.30","132.30","USD","2","0","OrderId:100000014","True","750ml","2016","Chartogne-Taillet Champagne Hors Serie","France, Champagne","White - Sparkling","White","Sparkling","Chartogne-Taillet","Chardonnay","Chardonnay","Hors Serie","Unknown","France","Champagne","Unknown","Champagne"
"1078221","100000015","6/9/2023","3/12/2024","Mailing List","USD","1","46.52","46.52","USD","2","0","OrderId:500000000","True","750ml","1001","Jacques Lassaigne Champagne Extra Brut Blanc de Blancs Les Vignes de Montgueux","France, Champagne","White - Sparkling","White","Sparkling","Jacques Lassaigne","Chardonnay","Chardonnay","Extra Brut Blanc de Blancs Les Vignes de Montgueux","Unknown","France","Champagne","Unknown","Champagne"
"4271968","100000016","6/8/2023","9/2/2023","Bottleshop","USD","1","114.58","114.58","USD","4","0","OrderId:100000016","True","750ml","2015","Bollinger Champagne La Grande Année","France, Champagne","White - Sparkling","White","Sparkling","Bollinger","Champagne Blend","Champagne Blend","La Grande Année","Unknown","France","Champagne","Unknown","Champagne"
"4635721","100000017","6/5/2023","8/2/2023","Chambers Street","USD","1","76.38","76.38","USD","1","0","OrderId:100000017","True","750ml","1001","Krug Champagne Brut Grande Cuvée Edition 171eme","France, Champagne","White - Sparkling","White","Sparkling","Krug","Champagne Blend","Champagne Blend","Brut Grande Cuvée Edition 171eme","Unknown","France","Champagne","Unknown","Champagne"
"5059544","100000018","6/6/2023","7/10/2023","WineBid","USD","1","59.31","59.31","USD","2","0","OrderId:100000018","True","750ml","2021","Aurore Casanova Pinot Noir Champagne Grand Cru Les Petites Vignes Puisieulx","France, Champagne, Champagne Grand Cru","White - Sparkling","White","Sparkling","Aurore Casanova","Pinot Noir","Pinot Noir","Les Petites Vignes","Puisieulx","France","Champagne","Unknown","Champagne Grand Cru"
"457665","100000019","6/27/2023","8/29/2023","WineBid","USD","1","53.39","53.39","USD","4","0","OrderId:100000019","True","750ml","1001","Vilmart & Cie Champagne Premier Cru Grande Réserve","France, Champagne, Champagne Premier Cru","White - Sparkling","White","Sparkling","Vilmart & Cie","Champagne Blend","Champagne Blend","Grande Réserve","Unknown","France","Champagne","Unknown","Champagne Premier Cru"
